Haglof_Plot_ID,Plot_Radius,Haglof_ID,Tree_Dia_mm,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude
121,25,3584,205,506,483,650,0.7,-5.33,5.38,172.57,15,45.5608825,-84.7040055
121,25,3585,104,342,298,474,0.8,-3.53,3.62,167.27,-4,45.5608987,-84.7040035
121,25,3586,80,564,383,436,4.36,1.34,4.57,72.87,5,45.5609416,-84.7039561
121,25,3587,166,1040,860,906,8.87,2.81,9.31,72.42,-17,45.5609537,-84.7038978
121,25,3588,312,1013,819,914,9.02,0.6,9.04,86.19,14,45.5609338,-84.7038967
121,25,3589,338,1086,951,1154,6.86,-7.95,10.5,139.21,-1,45.5608574,-84.7039275
121,25,3590,367,1298,1219,1422,5.12,-11.93,12.99,156.77,-20,45.560822,-84.7039513
121,25,3591,188,1622,1528,1728,7.45,-14.39,16.21,152.63,4,45.5607993,-84.7039223
121,25,3592,253,1711,1553,1746,12.79,-10.62,16.62,129.69,3,45.5608319,-84.7038526
121,25,3599,509,1167,987,1038,9.99,3.07,10.45,72.89,-6,45.5609557,-84.7038835
121,25,3593,311,668,812,857,-5.31,-5.53,7.66,223.86,11,45.5608823,-84.7040825
122,25,3598,83,492,444,628,1.2,-5.01,5.15,166.5,6,45.5607787,-84.7040128
123,25,3594,91,855,926,727,-3.22,7.69,8.34,337.31,7,45.5611345,-84.7047004
124,30,3600,87,889,1088,1029,-9.76,-2.17,9.99,257.47,6,45.5617256,-84.7056668
124,30,3601,110,871,1069,1014,-9.55,-2.31,9.82,256.37,4,45.5617242,-84.7056641
124,30,3602,341,950,1132,1131,-9.08,-5.4,10.56,239.24,3,45.5616963,-84.7056592
124,30,3603,371,771,932,963,-6.62,-5.69,8.73,229.34,7,45.5616931,-84.7056279
124,30,3604,119,645,843,798,-7.25,-2.22,7.58,252.97,5,45.5617245,-84.7056347
124,30,3605,111,528,728,669,-6.24,-1.33,6.38,257.94,6,45.5617322,-84.7056214
124,30,3606,103,508,705,670,-5.86,-2.13,6.23,250.02,2,45.561725,-84.7056168
124,30,3607,221,566,722,762,-4.88,-4.65,6.74,226.43,7,45.5617021,-84.7056053
124,30,3608,123,616,751,816,-4.54,-5.62,7.23,218.97,6,45.5616932,-84.7056013
124,30,3609,94,652,781,859,-4.48,-6.13,7.59,216.12,7,45.5616886,-84.7056006
124,30,3610,82,1046,1214,1044,-9.51,5.53,11,300.18,9,45.5617948,-84.7056608
124,30,3611,130,999,1166,997,-9.09,5.26,10.5,300.05,8,45.5617922,-84.7056555
124,30,3612,77,1010,1163,982,-8.36,6.36,10.51,307.27,10,45.561802,-84.7056458
124,30,3613,189,1232,1376,1182,-9.16,8.62,12.58,313.25,10,45.5618224,-84.7056552
124,30,3614,109,1217,1328,1139,-7.43,9.76,12.26,322.72,-18,45.5618323,-84.7056326
124,30,3615,286,1405,1465,1268,-4.41,12.97,13.7,341.21,5,45.5618604,-84.7055928
124,30,3617,192,1605,1614,1436,-0.86,15.45,15.48,356.83,6,45.5618818,-84.7055463
124,30,3618,183,1304,1262,1111,2.63,11.92,12.21,12.42,6,45.5618492,-84.7055031
124,30,3619,284,1140,1100,948,2.05,10.33,10.53,11.25,7,45.561835,-84.705511
124,30,3620,302,1111,1048,915,3.24,9.62,10.15,18.61,10,45.5618283,-84.705496
124,30,3621,184,895,915,728,-1.03,8.35,8.41,352.94,10,45.561818,-84.7055512
125,30,3616,262,1678,1716,1526,-3.39,15.97,16.33,348.03,11,45.5618826,-84.705531
125,30,3622,125,1060,1134,938,-4.21,9.53,10.42,336.15,10,45.561825,-84.705544
125,30,3623,91,991,1086,888,-5.04,8.49,9.87,329.29,8,45.5618158,-84.7055549
125,30,3624,119,930,1024,826,-4.72,7.93,9.23,329.22,7,45.5618107,-84.7055511
125,30,37,317,777,857,657,-3.38,6.7,7.51,333.27,8,45.5617993,-84.7055343
125,30,38,297,316,515,440,-4.05,-0.5,4.08,262.91,9,45.5617346,-84.7055455
125,30,39,306,456,290,319,3.04,1.45,3.36,64.54,-14,45.5617504,-84.7054541
125,30,40,90,768,569,692,6.72,-0.58,6.74,94.94,10,45.5617312,-84.7054077
125,30,41,258,1553,1386,1569,12.34,-8.43,14.94,124.34,10,45.5616591,-84.7053386
125,30,42,140,1921,1752,1943,15.16,-10.96,18.7,125.87,7,45.5616357,-84.7053035
